date,site,recipe_title,url,target_keyword,pinterest_volume,google_volume,competition,pin_image_url
2026-07-18,thehungryhousehold.com,"Baked Salmon",https://thehungryhousehold.com/dinner/baked-salmon/,baked salmon,43847,90500,0.16,https://thehungryhousehold.com/images/baked-salmon/pin.jpg
2026-07-18,thehungryhousehold.com,"Shrimp Pasta",https://thehungryhousehold.com/dinner/shrimp-pasta/,shrimp pasta,222563,27100,0.17,https://thehungryhousehold.com/images/shrimp-pasta/pin.jpg
2026-07-18,thehungryhousehold.com,"Easy Meatloaf",https://thehungryhousehold.com/dinner/easy-meatloaf/,meatloaf,125679,165000,0.12,https://thehungryhousehold.com/images/easy-meatloaf/pin.jpg
2026-07-18,thehungryhousehold.com,"Hamburger Casserole",https://thehungryhousehold.com/dinner/hamburger-casserole/,hamburger casserole,86212,18100,0.3,https://thehungryhousehold.com/images/hamburger-casserole/pin.jpg
2026-07-18,thehungryhousehold.com,"Chicken Stir Fry",https://thehungryhousehold.com/dinner/chicken-stir-fry/,chicken stir fry,41733,49500,0.13,https://thehungryhousehold.com/images/chicken-stir-fry/pin.jpg
2026-07-18,thehungryhousehold.com,"Crustless Quiche",https://thehungryhousehold.com/dinner/crustless-quiche/,crustless quiche,45840,18100,0.1,https://thehungryhousehold.com/images/crustless-quiche/pin.jpg
2026-07-18,thehungryhousehold.com,"Italian Meatballs",https://thehungryhousehold.com/dinner/italian-meatballs/,italian meatballs,54783,14800,0.51,https://thehungryhousehold.com/images/italian-meatballs/pin.jpg
2026-07-18,thehungryhousehold.com,"Ramen Noodle Stir Fry",https://thehungryhousehold.com/dinner/ramen-noodle-stir-fry/,ramen noodle stir fry,460074,4400,0.41,https://thehungryhousehold.com/images/ramen-noodle-stir-fry/pin.jpg
2026-07-18,thehungryhousehold.com,"Cauliflower Fried Rice",https://thehungryhousehold.com/dinner/cauliflower-fried-rice/,cauliflower fried rice,73440,4400,0.34,https://thehungryhousehold.com/images/cauliflower-fried-rice/pin.jpg
2026-07-18,thehungryhousehold.com,"Beef and Rice Skillet",https://thehungryhousehold.com/dinner/beef-and-rice-skillet/,beef and rice skillet,43058,720,0.04,https://thehungryhousehold.com/images/beef-and-rice-skillet/pin.jpg
2026-07-18,thehungryhousehold.com,"Loaded Baked Potatoes",https://thehungryhousehold.com/dinner/loaded-baked-potatoes/,loaded baked potatoes,44499,40500,0.05,https://thehungryhousehold.com/images/loaded-baked-potatoes/pin.jpg
2026-07-18,thehungryhousehold.com,"Roasted Sweet Potatoes",https://thehungryhousehold.com/dinner/roasted-sweet-potatoes/,roasted sweet potatoes,1356710,90500,0.01,https://thehungryhousehold.com/images/roasted-sweet-potatoes/pin.jpg
2026-07-18,thehungryhousehold.com,"Sweet and Sour Meatballs",https://thehungryhousehold.com/dinner/sweet-and-sour-meatballs/,sweet and sour meatballs,53846,14800,0.03,https://thehungryhousehold.com/images/sweet-and-sour-meatballs/pin.jpg
2026-07-18,thehungryhousehold.com,"Chicken Tacos",https://thehungryhousehold.com/dinner/chicken-tacos/,chicken tacos,75220,49500,0.09,https://thehungryhousehold.com/images/chicken-tacos/pin.jpg
2026-07-18,thehungryhousehold.com,"Chicken Burrito Bowl",https://thehungryhousehold.com/dinner/chicken-burrito-bowl/,chicken burrito bowl,3838,8100,0.12,https://thehungryhousehold.com/images/chicken-burrito-bowl/pin.jpg
2026-07-18,thehungryhousehold.com,"Beef Enchiladas",https://thehungryhousehold.com/dinner/beef-enchiladas/,beef enchiladas,2660,18100,0.12,https://thehungryhousehold.com/images/beef-enchiladas/pin.jpg
2026-07-18,thehungryhousehold.com,"Turkey Chili",https://thehungryhousehold.com/dinner/turkey-chili/,turkey chili,16891,18100,0.2,https://thehungryhousehold.com/images/turkey-chili/pin.jpg
2026-07-18,thehungryhousehold.com,"Classic Lasagna",https://thehungryhousehold.com/dinner/classic-lasagna/,classic lasagna,8954,880,0.31,https://thehungryhousehold.com/images/classic-lasagna/pin.jpg
2026-07-18,thehungryhousehold.com,"Ground Turkey Skillet",https://thehungryhousehold.com/dinner/ground-turkey-skillet/,ground turkey skillet,784075,1000,0.01,https://thehungryhousehold.com/images/ground-turkey-skillet/pin.jpg
2026-07-18,thehungryhousehold.com,"Classic Beef Burgers",https://thehungryhousehold.com/dinner/classic-beef-burgers/,classic beef burgers,272088,210,0.03,https://thehungryhousehold.com/images/classic-beef-burgers/pin.jpg
2026-07-18,thehungryhousehold.com,"Homemade Pizza",https://thehungryhousehold.com/dinner/homemade-pizza/,homemade pizza,0,27100,0.27,https://thehungryhousehold.com/images/homemade-pizza/pin.jpg
2026-07-18,thehungryhousehold.com,"Slow Cooker Corned Beef",https://thehungryhousehold.com/crockpot/slow-cooker-corned-beef/,slow cooker corned beef,63096,9900,0.03,https://thehungryhousehold.com/images/slow-cooker-corned-beef/pin.jpg
2026-07-18,thehungryhousehold.com,"Air Fryer Salmon",https://thehungryhousehold.com/air-fryer/air-fryer-salmon/,air fryer salmon,75391,135000,0.1,https://thehungryhousehold.com/images/air-fryer-salmon/pin.jpg
